,Brand,Variety,Style,Country/Region,Stars,Top Ten
983,Nissin,Original Chow Mein Premium Spicy Chicken Flavor,Tray,USA,4.0,
984,Uncle Sun,White Curry Noodle More Spicy,Pack,Malaysia,3.0,
985,JML,Emporer Instant Noodles Spicy Chicken,Pack,China,5.0,
986,Acecook,Jan Jan Dashi Shoyu Yakisoba,Cup,Japan,2.25,
987,Nongshim,Tteokgukmyun,Pack,South Korea,4.25,
988,Mom's Dry Noodle,Vegan Chilli With Sesame Sauce,Pack,Taiwan,5.0,
989,Mi E-Zee,Perisa Sayuran,Pack,Malaysia,3.5,
990,Mi E-Zee,Perisa Kari Sayuran,Pack,Malaysia,3.75,
991,E-mi,Mi Perencah Ayam Jagung,Pack,Malaysia,3.75,
992,Mi E-Zee,Perisa Bayam,Pack,Malaysia,3.5,
993,Mi E-Zee,Plain Noodles,Pack,Malaysia,,
994,J.J.,Snek Mi Perisa Ayam,Pack,Malaysia,3.75,
995,CarJEN,Nyonya Curry Laksa,Pack,Malaysia,5.0,2015 #4
996,E-mi,Mi Perencah Asam Pedas,Pack,Malaysia,3.75,
997,J.J.,Snek Mi Perisa BBQ,Pack,Malaysia,4.0,
998,Mi E-Zee,Perisa Kari / Curry Flavour,Pack,Malaysia,4.0,
999,United,3 Con Tom Instant Noodles Thailand Sour Shrimp Flavor,Pack,Vietnam,2.75,
1000,Emart,Dare You! Habanero Ramen (New Edition),Pack,South Korea,3.75,
1001,Curry Prince,Penang Authentic White Curry Noodle,Pack,Malaysia,4.0,
1002,Nissin,Gonbuto Tempura Udon,Bowl,Japan,4.0,
1003,Mama,Pork Flavour Whole Wheat Noodle,Pack,Thailand,3.75,
1004,Maggi,Authentic Indian Noodles Vegetable Atta Masala,Pack,India,3.75,
1005,Paldo,Jjajangmen Chajang Noodle King Bowl,Bowl,South Korea,5.0,
1006,Chering Chang,Steam Vegetarian Flavor Noodles,Pack,Taiwan,3.5,
1007,Hao Way,Penang White Curry Instant Bowl Noodles,Bowl,Malaysia,4.75,
1008,Master Kong,Artificial Seafood Flavor Instant Noodle,Pack,China,3.75,
1009,Econsave,Choice Instant Noodles Curry Flavour,Pack,Malaysia,3.5,
1010,Maruchan,"Big Cup Ramen Corn, Salt & Butter Flavor",Bowl,Japan,5.0,
1011,Maggi,Mi Goreng Perencah Kari Ori,Pack,Malaysia,4.0,
1012,Mama,Instant Noodles Cup Beef Flavour,Cup,Thailand,3.5,
1013,Nissin,Emergency Cup Noodle,Cup,Japan,4.25,
1014,Nissin,Cup Noodles Tomato Enjoy Noodles With Hot Soup,Cup,India,3.25,
1015,Oyatsu,Baby Star Snack Noodle Chicken Flavour,Pack,Japan,2.5,
1016,A-One,Mì Ly Instant Noodles Mì Thịt Xào Pork Flavor,Cup,Vietnam,3.0,
1017,Nongshim,Shin Ramyun Noodle Soup (New Edition),Pack,USA,4.25,
1018,Koka,Purple Wheat Noodles Soy & Vinegar Flavor,Pack,Singapore,2.75,
1019,Uncle Sun,White Curry Noodle,Pack,Malaysia,4.5,
1020,Kin-Dee,Instant Rice Noodle Spicy Seafood,Tray,Thailand,3.75,
1021,Master Kong,Spicy Beef Flavor Instant Noodle,Pack,China,4.0,
1022,No Name,Beef Flavour Oriental Noodles And Soup Mix,Cup,Canada,2.0,
1023,Hao Way,Penang Laksa ,Pack,Malaysia,3.5,
1024,Ching's Secret,Hot Garlic Instant Noodles,Pack,India,3.75,
1025,Ko-Lee,Instant Noodles Taste Sensation Mixed Vegetable Flavour,Pack,UK,3.5,
1026,ICA,Asia Fast Noodles Snabbnudlar Räksmak,Pack,Sweden,3.0,
1027,Mamee,Mi Segera Perisa Itik,Pack,Malaysia,3.75,
1028,Bamee,Oriental Style Instant Noodles Pa-Lo Duck Flavour,Pack,Thailand,3.5,
1029,Myojo,Men Black Seafood Tonkotsu,Bowl,Japan,3.5,
1030,Ibumie,Penang White CurryMee,Pack,Malaysia,5.0,
1031,Sapporo Ichiban,Chow Mein Japanese Style Noodles Yakisoba,Pack,Canada,5.0,
1032,Samyang Foods,Curry Noodle,Cup,Japan,3.75,
1033,Vedan,Volcano Spicy Pork Noodle,Bowl,Taiwan,4.25,
1034,Nissin,Demae Rice Vermicelli Beef Flavour,Pack,Hong Kong,3.5,
1035,Nanyang Chef,Penang Asam Pedas Hot & Sour Noodle,Pack,Malaysia,5.0,
1036,Thai Pavilion,Pad Thai Instant rice Noodles & Sauce,Tray,USA,1.5,
1037,Maggi,2 Minute Noodles Hungrooo Masala Spicy,Pack,India,3.75,
1038,Koka,Noodles Beef Flavour,Cup,Singapore,2.5,
1039,Wu-Mu,Steam Pork Flavour,Pack,Taiwan,3.75,
1040,Unif-100,Instant Noodles Artificial Shallot Beef Flavour,Pack,China,4.25,
1041,New Touch,Kimchi Noodle,Bowl,Japan,3.5,
1042,Sau Tao,Oat Noodle Tomato Soup Flavored,Pack,Hong Kong,4.5,
1043,Wai Wai,Quick Zabb Chili Paste Tom Yum Flavour Instant Noodles,Pack,Thailand,3.75,
1044,Paldo Vina,Koreno Premium Shrimp Flavor,Pack,Vietnam,3.25,
1045,Sau Tao,Oat Noodle Pork Rib Flavored,Pack,Hong Kong,3.5,
1046,Vit's,Seafood Instant Noodles,Pack,Malaysia,3.75,
1047,Miliket,Sate Flavor Instant Noodles,Pack,Vietnam,3.75,
1048,Lucky Me!,Special Instant Noodles Jjamppong Flavor,Pack,Philippines,4.5,
1049,Lucky Me!,Special Instant sopas Chicken Flavor,Pack,Philippines,3.75,
1050,Lucky Me!,Spicy Beef Mami Instant Noodle Soup,Pack,Philippines,4.0,
1051,Lucky Me!,Special Instant Curly Spaghetti With Yummy Red Sauce,Pack,Philippines,4.0,
1052,Lucky Me!,Supreme Pinoy Chicken Instant Noodles,Cup,Philippines,3.25,
1053,Lucky Me!,Special Baked Mac Style Instant Macaroni,Pack,Philippines,4.5,
1054,Lucky Me!,La Paz Batchoy Instant Noodle Soup,Pack,Philippines,3.75,
1055,Pama,Instant Kua Teow Tom Yam,Cup,Malaysia,3.75,
1056,Nissin,Chu Qian Yi Ding Spicy Sesame Flavour Instant Noodles With Soup Base,Pack,Singapore,3.5,
1057,Paldo,Jjamppong Seafood Noodle King Bowl,Bowl,South Korea,5.0,
1058,Vifon,Instant Porridge Seafood Flavour,Pack,Vietnam,3.25,
1059,Maruchan,Gotsumori Sauce Yakisoba,Tray,Japan,5.0,2015 #9
1060,Yum Yum,Oriental Style Instant Noodles Wasabi Flavour,Pack,Thailand,3.0,
1061,Ching's Secret,Manchurian Instant Noodles,Pack,India,3.5,
1062,Mamee,Chef Gold Recipe Bihun Kari Seribu Rasa,Pack,Malaysia,4.5,
1063,Katoz,Instant Noodles Spicy Chili,Pack,Sweden,3.5,
1064,Men-Sunaoshi,Miso Ramen,Pack,Japan,3.75,
1065,Nongshim,Neoguri Udon Seafood & Mild,Pack,South Korea,4.0,
1066,Maggi,Royale Penang Seafood Curry,Pack,Malaysia,4.5,
1067,Mama,Instant Noodles Tom Yum Pork Flavour,Pack,Thailand,4.0,
1068,Chewy,Japanese Fried Ramen Noodles Kyoto Barbecue Sauce Flavour,Pack,Hong Kong,1.75,
1069,Long Jun Hang,Tainan Yi Mien With Sesame Oil Sauce,Pack,Taiwan,3.25,
1070,Knorr,Quick Serve Macaroni Wonton Broth,Pack,Hong Kong,3.25,
1071,Nissin,Donbei Kitsune Udon Mini,Bowl,Japan,3.5,
1072,Mamee,Chef Gold Recipe Mi Kari Seribu Rasa,Pack,Malaysia,5.0,2015 #6
1073,Nissin,Chu Qian Yi Ding Prawn Flavour Instant Noodles With Soup Base,Pack,Singapore,3.5,
1074,Nissin,Cup Noodles Mug Noodles Spicy Vegetable,Pack,India,3.75,
1075,Shan,Shoop Instant Noodles BBQ Flavour,Pack,Pakistan,3.25,
1076,Master Kong,Stewed Beef Flavor Cooking Noodle,Pack,China,4.25,
1077,Nongshim,Bowl Noodle Soup Shrimp Habanero Lime Flavor,Bowl,USA,3.25,
1078,JML,Artificial Pork Flavor Noodles,Pack,China,4.0,
1079,Acecook,Ohmori Chukafu Yakisoba,Tray,Japan,3.25,
1080,MyKuali,Penang Red Tom Yum Goong Noodle,Pack,Malaysia,5.0,2015 #1
1081,United,Instant Noodles Xi Gon Artificial Stewed Beef Flavor,Pack,Vietnam,3.25,
1082,Samyang Foods,Sogokimyun Hot Flavor Noodle Soup,Pack,South Korea,3.5,
1083,Nissin,Easy Fideos Picante Lime Shrimp Flavor Ramen Noodle Soup,Cup,USA,3.5,
1084,Master Kong,Mianba Pork Ribs Flavor Instant Noodles,Pack,China,4.5,
1085,Super,Instant Noodles Mee Goreng,Cup,Malaysia,3.75,
1086,Indomie,Pop Mie Chicken Flavour Cup Noodles,Cup,Indonesia,3.5,
1087,Maruchan,Magomi-an Kitsune Udon (Eastern Japan Flavor),Bowl,Japan,4.25,
1088,Wai Wai,Quick Zabb Tom Yum Shrimp Flavour Instant Noodles,Pack,Thailand,4.0,
1089,Ottogi,Potato Ramen,Pack,South Korea,3.75,
1090,Nissin,Soba Chili Noodles With Japanese Yakisoba Sauce,Cup,Germany,3.5,
1091,Maggi,Multigrainz Noodles Spice Remix,Pack,India,3.25,
1092,Mom's Dry Noodle,Sichuan Spicy Flavor,Pack,Taiwan,5.0,
1093,ICA,Asia Snabbnudlar Kycklingsmak,Pack,Sweden,3.25,
1094,Mom's Dry Noodle,Onion Oil & Shrimp Flavor,Pack,Taiwan,5.0,
1095,Nongshim,Spicy Tonkotsu Noodle Soup,Pack,USA,5.0,
1096,Ibumie,Mee Baa..Gus Mi Goreng Spicier Original Flavour,Pack,Malaysia,3.75,
1097,Four Seas,Hot & Spicy Instant Noodle (Mushroom & Beef Flavour),Pack,Hong Kong,4.0,
1098,Maruchan,I Want To Eat Ramen' Shoyu Flavor,Pack,Japan,4.0,
1099,Master Kong,Mushroom Stew Chicken Ramen,Pack,China,3.5,
1100,Paldo,Jjol Bibim Men,Pack,South Korea,4.0,
1101,Nissin,Cup Noodles Easy Fideos Tomato Chicken Flavor Ramen Noodle Soup,Cup,USA,3.5,
1102,Ruski,Tom Yam Flavour Instant Noodles,Pack,Thailand,4.0,
1103,Mama,Instant Noodles Moo Nam Tok Flavour,Pack,Thailand,4.0,
1104,Thai Chef,Instant Nudelsuppe Shrimp Flavour,Pack,Germany,3.5,
1105,Bamee,Cup Oriental Style Instant Noodles Chicken Flavour,Cup,Thailand,3.25,
1106,Mama,Instant Noodle Shrimp Tom Yum Flavour Jumbo Pack,Pack,Thailand,4.0,
1107,Mama,Instant Cup Noodles Shrimp Tom Yum Flavour (Extreme),Cup,Thailand,5.0,
1108,Ruski,Chicken Masala Flavour Instant Fried Noodles,Pack,Thailand,3.75,
1109,Mama,Instant Noodles Shrimp Creamy Tom Yum Flavour Jumbo Pack,Pack,Thailand,5.0,2013 #10
1110,Mama,Instant Cup Noodles Spicy Cheese Flavour,Cup,Thailand,3.5,
1111,Bamee,Oriental Style Instant Noodles Beef Flavour,Pack,Germany,3.25,
1112,Mama,Instant Cup Noodles Seafood Pad Kee Mao Flavour,Cup,Thailand,5.0,
1113,Ruski,Creamy Tom Yam Instant Noodles,Pack,Thailand,4.5,
1114,Mama,Oriental Style Instant Noodles Green Curry Flavour Jumbo Pack,Pack,Thailand,5.0,2015 #8
1115,Thai Chef,"Shrimp ""Tom Yum"" Instant Nudelsuppe",Pack,Germany,3.5,
1116,Nanyang Chef,Penang White curry Noodle With Nanyang Chilli Paste,Pack,Malaysia,4.75,
1117,Maruchan,Instant Lunch California Vegetable Ramen Noodles With Vegetables,Cup,USA,3.5,
1118,Wei Lih,Steam Instant Noodles Korean Salt & Rib Soup Flavour,Bowl,Taiwan,2.25,
1119,Nissin,Cup Noodles Black Pepper Crab Flavour,Cup,Singapore,4.0,
1120,Nissin,Premium Instant Noodles Spicy Beef Flavour,Pack,Singapore,3.75,
1121,Nissin,Cup Noodles Tom Yam Veg Flavour,Cup,Singapore,4.0,
1122,Nissin,Premium Instant Noodles Roasted Beef Flavour,Bowl,Singapore,3.75,
1123,Nissin,Chu Qian Yi Ding Sesame Oil Flavour,Pack,Singapore,3.75,
1124,Nissin,Cup Noodles Chicken Flavour,Cup,Singapore,3.5,
1125,Nissin,Premium Instant Noodles XO Sauce Seafood Flavour,Pack,Singapore,3.75,
1126,Nissin,Cup Noodles Chilli Crab Flavour,Cup,Singapore,4.0,
1127,Nissin,Japanese Ramen Kyushu Black Instant Noodles With Soup Base,Pack,Singapore,5.0,
1128,Nissin,Premium Instant Noodles Spicy Beef Flavour,Bowl,Singapore,3.75,
1129,Nissin,Cup Noodles Tom Yam Seafood Flavour,Cup,Singapore,4.0,
1130,Nissin,Japanese Ramen Tokyo Shoyu Instant Noodles With Soup Base,Pack,Singapore,5.0,
1131,Nissin,Cup Noodles Seafood Curry Flavour,Cup,Singapore,4.0,
1132,Nissin,Premium Instant Noodles Roasted Beef Flavour,Pack,Singapore,4.25,
1133,Nissin,Cup Noodles Cream Of Chicken Flavour,Cup,Singapore,4.0,
1134,Myojo,Ippei-Chan Jumbo Night Market Style Yakisoba,Tray,Japan,4.5,
1135,MyKuali,Penang Hokkien Prawn Noodle,Pack,Malaysia,5.0,
1136,Maruchan,Instant Lunch Jalapeno Cheddar Flavor Ramen Noodles,Cup,USA,3.5,
1137,Nongshim,Harmony Korean Spicy Noodle Dish With Chipotle,Pack,USA,4.25,
1138,Maggi,2 Minute Noodles Tom Yam Flavour,Pack,Singapore,3.5,
1139,Nissin,Souper Meal Chili Picante Chicken With Lime Flavor Ramen Noodle Soup,Bowl,USA,3.5,
1140,Wu-Mu,Dried Noodle With Beef Flavor Sauce,Pack,Taiwan,3.0,
1141,Adabi,Mi Segera Mi Goreng Pedas Instant Noodles,Pack,Malaysia,3.5,
1142,Maruchan,Old Style Miso Ramen,Pack,Japan,3.5,
1143,Knorr,Quick Serve Macaroni Abalone & Chicken Flavour,Pack,Hong Kong,3.0,
1144,Chencun,Rice Noodle Beef With Brown Sauce,Cup,China,3.5,
1145,Maggi,2 Minute Noodles Assam Laksa Flavour,Pack,Singapore,4.0,
1146,Maggi,Hot Cup Perisa Kari,Cup,Malaysia,3.5,
1147,Maggi,2 Minute Noodles Curry Flavour,Pack,Singapore,3.75,
1148,Maggi,Senses Laksa Instant Noodles,Pack,Singapore,5.0,
1149,Maggi,Extra Spicy Curry Instant Noodles,Pack,Singapore,5.0,
1150,Samyang Foods,Buldak Bokkummyeon,Bowl,South Korea,4.0,
1151,Nissin,Sabor A Gallina Fideos Con Instantanea,Pack,Colombia,3.5,
1152,Myojo,Chukazanmai Beijing Style Salt Ramen,Pack,Japan,3.0,
1153,Osaka Ramen,Miso Ramen,Bowl,USA,3.75,
1154,Ottogi,Cheese Bokki,Bowl,South Korea,4.0,
1155,Hao Way,Instant Penang White Curry Noodles,Pack,Malaysia,4.5,
1156,Sainsbury's,Curry Flavour Instant Noodles,Pack,UK,1.5,
1157,Vina Acecook,King Chef Seafood With Kimchi Flavour,Pack,Vietnam,3.0,
1158,Nissin,Pan Asian Kitchen Spicy Szechuan Chicken Flavor Ramen Noodles,Tray,USA,3.0,
1159,Nongshim,Korean Clay Pot Ramyun Noodle,Cup,China,2.75,
1160,Maruchan,I Want To Eat Ramen Shio,Pack,Japan,3.75,
1161,Vifon,Ngon-Ngon Tom Yum Minced Pork Noodle,Cup,Vietnam,3.5,
1162,Ottogi,Ppushu Ppushu Grilled Chicken Flavor,Pack,South Korea,1.0,
1163,Sau Tao,Oat Noodle Abalone Flavored,Pack,Taiwan,1.75,
1164,Myojo,Chukazanmai Szechuan Style Miso,Pack,Japan,2.0,
1165,Chewy,Instant Rice Vermicelli Original Flavour,Pack,Hong Kong,0.5,
1166,Paldo,Cheese Ramyun (for US market),Pack,South Korea,5.0,
1167,Chering Chang,Curry La-Men,Pack,Taiwan,5.0,
1168,Chewy,Non-Fried Ramen Noodles Taiwan Roast Pork Flavour,Pack,Hong Kong,4.0,
1169,A-Sha Dry Noodle,Prince Katsu Snack Noodles,Pack,Taiwan,4.0,
1170,Adabi,Mi Segera Tom Yam Instant Noodles,Pack,Malaysia,3.25,
1171,Baixiang Noodles,Spicy Artificial Beef Flavour Instant Noodles With Soup Base,Pack,China,3.5,
1172,Pamana,Chicken Sopas Creamy Macaroni Soup,Cup,Philippines,3.5,
1173,Annie Chun's,Ramen House Thai Coconut Ramen,Pack,USA,5.0,
1174,La Fonte,Spaghetti With Mushroom Sauce,Pack,Indonesia,3.75,
1175,Maggi,Masala Dumdaar Noodles,Pack,India,3.75,
1176,Thai Choice,Instant Noodles Seafood Flavour,Cup,Thailand,4.0,
1177,Tesco,Everyday Value Chicken & Mushroom Flavour,Cup,UK,0.5,
1178,Pop Bihun,Spesial Rasa Kari Ayam Pedas,Pack,Indonesia,3.75,
1179,Myojo,Yomise No Yakisoba Shiodare Flavor With Black Pepper Mayonnaise,Tray,Japan,3.75,
1180,Pulmuone,Nature Is Delicious Non-Fried Ramyun (Spicy Flavor) (New Version),Pack,South Korea,3.75,
1181,Vina Acecook,Oh! Ricey Pho Bo Instant Rice Noodles,Bowl,Vietnam,3.75,
1182,Nissin,Fried Noodle Specialist Tom Yam Mee Goreng Flavour,Pack,Singapore,3.0,
1183,Wu-Mu,Steam Seafood Flavor Ramen,Pack,Taiwan,4.0,
1184,Oyatsu,Baby Star Snack Noodle Yakisoba Flavor,Pack,Japan,4.75,
1185,Snapdragon,Singapore Laksa Curry Soup Bowl,Bowl,USA,4.25,
1186,Paldo,Mild Kokomen (Prototype),Pack,South Korea,4.5,
1187,Saji,Sajimee Curry Soup Flavour,Pack,Malaysia,4.25,
1188,Miracle Noodle,Miso Marvellous Soup,Pack,USA,4.0,
1189,Shan,Shoop Instant Noodles Chicken Flavour,Pack,Pakistan,3.5,
1190,Indomie,Mi Goreng Rasa Iga Penyet,Pack,Indonesia,4.75,
1191,Tiger Tiger,Traveller's Choice Thai Red Curry Flavour Instant Noodles,Pack,UK,1.75,
1192,Paldo,Barbecue Ramyun (Prototype),Pack,South Korea,3.75,
1193,Takamori Kosan,Red Pepper 7 Garlic Peperoncino,Pack,Japan,4.0,
1194,Takamori Kosan,Sukiyaki Style Noodle Stew,Pack,Japan,4.5,
1195,Takamori Kosan,Yaki-Udon Roast Soy Sauce,Pack,Japan,3.75,
1196,Takamori Kosan,Hiyashi Udon Bonito Sauce,Pack,Japan,3.0,
1197,Takamori Kosan,Futomen Yakisoba,Pack,Japan,4.75,
1198,Takamori Kosan,Hiyashi Chuka Lemon Sauce,Pack,Japan,4.75,
1199,Takamori Kosan,Curry Udon,Pack,Japan,5.0,
1200,Takamori Kosan,Chanpon,Pack,Japan,3.75,
1201,Takamori Kosan,Shio Yakisoba,Pack,Japan,4.0,
1202,Takamori Kosan,Yakisoba,Pack,Japan,5.0,
1203,Takamori Kosan,Yaki-Udon Mild Spicy Sauce,Pack,Japan,4.25,
1204,Takamori Kosan,Katsuo Dashi Udon,Pack,Japan,3.75,
1205,Takamori Kosan,Spaghetti Napolitan,Pack,Japan,4.0,
1206,Tokyo Noodle,Spicy Garlic Ramen,Pack,Japan,3.25,
1207,Tesco,Everyday Value Beef & Tomato Flavour Noodles,Cup,UK,2.0,
1208,Samyang Foods,Nagasaki Jjamppong,Cup,South Korea,3.75,
1209,Campbell's,Hearty Noodles Thai Flavour,Cup,Canada,0.0,
1210,Papa,Oriental Style Instant 'Kua-Chap',Pack,Thailand,3.25,
1211,A-Sha Dry Noodle,Hello Kitty Za Jiang (Soybean Sauce),Pack,Taiwan,3.25,
1212,Nissin,Soba Teriyaki Noodles With Japanese Yakisoba Sauce,Cup,Germany,3.0,
1213,Sawadee,Instant Noodles Vegetable & Mushroom Flavour,Pack,UK,1.5,
1214,Nongshim,Sir Long Tang Creamy Beef Noodle Soup,Cup,USA,4.25,
1215,Four Seas,Seaweed Hot & Spicy Instant Noodle Mushroom & Beef Flavour,Bowl,Hong Kong,3.5,
1216,Golden Wheat,Korean Style Stew Pork Flavour Noodle Soup,Bowl,China,1.75,
1217,Sau Tao,Instant Noodle King Won Ton Flavor,Pack,Hong Kong,2.75,
1218,Mamee,Instant Noodles Curry Flavour,Pack,Malaysia,3.5,
1219,Mamee,Chef Creamy Tom Yam Flavour,Pack,Malaysia,5.0,
1220,Mamee,Monster BBQ Flavour Snack Noodles,Pack,Malaysia,3.75,
1221,Mamee,Chef Curry Laksa Flavour,Cup,Malaysia,5.0,
1222,Mamee,SLLRRRP! Asam Laksa,Pack,Malaysia,4.0,
1223,Mamee,Mie Goreng Indonesia Spicy Sambal,Cup,Malaysia,5.0,
1224,Mamee,Chef Spicy Chicken Shiitake Flavour,Pack,Malaysia,3.25,
1225,Mamee,Instant Vermicelli Chicken Flavour,Pack,Malaysia,3.25,
1226,Mamee,Chef Creamy Tom Yam Flavour,Cup,Malaysia,4.75,
1227,Mamee,Instant Noodles Vegetarian Flavour,Pack,Malaysia,3.75,
1228,Mamee,SLLRRRP! Kari Berapi,Pack,Malaysia,3.75,
1229,Mamee,Monster Chicken Flavour Snack Noodles,Pack,Malaysia,4.0,
1230,Mamee,Chef Curry Laksa Flavour,Pack,Malaysia,5.0,2014 #7
1231,Mamee,Mie Goreng Indonesia Original Flavour,Cup,Malaysia,4.5,
1232,Mamee,Instant Vermicelli Tom Yam Flavour,Pack,Malaysia,3.75,
1233,Paldo,Bulnak Bokkummyun Spicy Fried Octopus Ramyun,Pack,South Korea,4.0,
1234,Oyatsu,Baby Star Ramen Round Consomme Mini,Pack,Japan,3.75,
1235,Lotus Foods,Forbidden Rice Ramen,Pack,USA,2.25,
1236,Lotus Foods,Millet & Brown Rice Ramen,Pack,USA,4.0,
1237,Lotus Foods,Jade Pearl Rice Ramen,Pack,USA,3.25,
1238,Ah Lai,White Curry Noodle,Pack,Malaysia,4.5,
1239,Plats Du Chef,Cuisine Adventures Chicken Pho Soup,Bowl,Canada,5.0,
1240,Indomie,Taste Of Asia Mi Goreng Rasa Bulgogi Ala Korea,Pack,Indonesia,2.75,
1241,Kin-Dee,Instant Rice Noodle Pad Thai,Tray,Thailand,3.75,
1242,Batchelors,Super Noodles Peppered Steak Flavour,Pack,UK,1.5,
1243,Sakura Noodle,Chikara Brand Udon Beef Flavor,Pack,USA,4.25,
1244,Shirakiku,Fresh Chow Mein Noodles With Seasoning,Pack,USA,3.75,
1245,Sakura Noodle,Chikara Brand Udon Hot & Spicy Flavor,Pack,USA,4.0,
1246,Sakura Noodle,Chikara Brand Udon Mushroom Flavor,Pack,USA,3.75,
1247,Sakura Noodle,Chikara Brand Udon Oriental Flavor,Pack,USA,3.75,
1248,Sakura Noodle,Chikara Brand Udon Chicken Flavor,Pack,USA,3.75,
1249,Indomie,Taste Of Asia Mi Kuah Rasa Tom Yum Ala Thailand,Pack,Indonesia,3.75,
1250,Sapporo Ichiban,Otafuku Okonomi Sauce Yakisoba,Tray,Japan,5.0,2014 #4
1251,Vifon,Oriental Style Instant Noodle Mi Ga Chicken Flavor,Cup,Vietnam,1.25,
1252,A-Sha Dry Noodle,Hello Kitty La Wei (Spicy Flavor),Pack,Taiwan,3.75,
1253,Unif,Unif-100 Instant Noodles Artificial Tart Beef Flavor,Pack,China,3.0,
1254,Mamee,Mi Segera SLLRRRP! Perencah Kari Xtra Pedas,Pack,Malaysia,3.75,
1255,Koka,Spicy Shrimp Tom Yam Flavour,Cup,Singapore,3.25,
1256,Ruski,Instant Noodles Stewed Beef Flavour,Pack,Thailand,3.5,
1257,Golden Wheat,Korean Style Mushroom Chicken Flavour Cooking Noodle,Pack,China,2.0,
1258,Hi-Myon,Instant Noodle Udon Hot & Spicy,Pack,South Korea,4.0,
1259,Takamori Kosan,Fresh Chow Mein Noodles With Seasoning,Pack,Japan,3.75,
1260,Mama,Instant Noodles Cup Seafood Flavour,Cup,Thailand,3.75,
1261,Adabi,Mi Segera Kari Ayam Instant Noodles,Pack,Malaysia,4.25,
1262,Nissin,Spa Oh Tarako Spaghetti,Bowl,Japan,4.0,
1263,Ve Wong,Little Prince Brand Snack Noodles Original Flavor,Pack,Taiwan,2.5,
1264,Ottogi,Japchae Vermicelli Noodle,Pack,South Korea,2.75,
1265,Sainsbury's,Chicken Flavour Instant Noodles,Pack,UK,2.75,
1266,Paldo,Korean Traditional Beef Gomtangmen,Pack,South Korea,5.0,
1267,Healtimie,Green Barley Noodle Vegetable Soup,Pack,Indonesia,3.25,
1268,Maruchan,I Want To Eat Ramen Miso Flavor,Pack,Japan,3.75,
1269,Pop Bihun,Spesial Rasa Soto Ayam,Pack,Indonesia,4.0,
1270,Thai Kitchen,Rice Noodle Cart Thai Peanut,Tray,USA,3.0,
1271,Yum Yum,Oriental Style Instant Noodles Seafood Flavour,Cup,Thailand,3.75,
1272,Nongshim,Soon Veggie Noodle Soup,Pack,South Korea,5.0,2014 #9
1273,Nissin,Cup Noodle Cheese Curry,Cup,Japan,3.75,
1274,Koka,Oriental Style Instant Noodles Tom Yam Flavour,Pack,Singapore,2.5,
1275,A-Sha Dry Noodle,Instant Noodle Original Flavor,Pack,Taiwan,3.75,
1276,Nissin,Demae Ramen Shoyu Tonkotsu Artificial Pork Flavour,Pack,Hong Kong,4.75,
1277,Western Family,Instant Noodles In A Cup Chicken Flavour,Cup,Canada,1.5,
1278,Mama,Instant Noodles Yentafo Tom Yum Mohfai Flavour,Pack,Thailand,5.0,2014 #10
1279,Knorr,Quick Serve Macaroni Shrimp Broth,Pack,Hong Kong,3.25,
1280,Samyang Foods,Red Nagasaki Jjampong,Pack,South Korea,5.0,
1281,Mr. Noodles,Noodles In A Cup Spicy Chicken Simulated Flavour,Cup,Canada,1.0,
1282,Good Tto Leu Foods,Lightning Beef Bone Tteokguk Rice Cake Soup,Bowl,South Korea,4.0,
1283,GaGa,Mie Gepeng Kuah Rasa Ayam Lada Hitam,Pack,Indonesia,3.25,
1284,Wu-Mu,Ramen With Pickled Mustard Flavor,Pack,Taiwan,3.5,
1285,Wu-Mu,Steam Mushroom Flavor Ramen,Pack,Taiwan,3.25,
1286,Thai Choice,Instant Noodles Chicken Flavour,Cup,Thailand,3.0,
1287,Myojo,Prawn Noodles,Pack,Singapore,4.25,
1288,Nissin,Cup Noodles Sabor A Carne Sopa Con Fideos,Cup,Colombia,3.0,
1289,A-One,Mì Ly Instant Noodles Mì Tôm Shrimp Flavor,Cup,Vietnam,3.25,
1290,Nongshim,Sain Sain Garlic Teriyaki Fresh Cooked Udon Pasta,Tray,South Korea,4.5,
1291,JML,Braised Beef Noodles,Pack,China,4.0,
1292,Sau Tao,QQ Scallop Seafood Vermicelli,Bowl,Hong Kong,3.75,
1293,Kimura,Kumamoto Tonkotsu Ramen,Pack,Japan,5.0,
1294,Batchelors,Super Noodles Roast Beef & Onion Flavour,Pack,UK,3.25,
1295,Lucky Me!,Supreme Chow Mein Seafood Flavor Instant Stir-Fried Noodles,Bowl,Philippines,3.25,
1296,Thai Kitchen,Rice Noodle Cart Sweet Citrus Ginger,Tray,USA,4.25,
1297,Nongshim,Oolongmen Kimchi Cup Noodle Soup Mix,Cup,South Korea,4.0,
1298,Koka,Purple Wheat Noodles Aglio Olio,Pack,Singapore,2.75,
1299,Tokachimen Koubou,Jet Black Sesame Oil Pork Tonkotsu,Bowl,Japan,2.25,
1300,Deshome,Sun Dried Noodle Chlorella Powder Noodle With Curry Sauce,Pack,Taiwan,5.0,
1301,Ko-Lee,Instant Noodles Mixed Vegetable,Pack,UK,3.5,
1302,Ottogi,Ppushu Ppushu Noodle Snack Bulgogi Flavor,Pack,South Korea,3.25,
1303,Vifon,Mì Gà Tìm Chua Cay Hot & Sour Chicken Flavor Instant Noodles,Pack,Vietnam,2.0,
